"satisfaction";"Gender";"Customer.Type";"Age";"Type.of.Travel";"Class";"Flight.Distance";"Seat.comfort";"Departure.Arrival.time.convenient";"Food.and.drink";"Gate.location";"Inflight.wifi.service";"Inflight.entertainment";"Online.support";"Ease.of.Online.booking";"On.board.service";"Leg.room.service";"Baggage.handling";"Checkin.service";"Cleanliness";"Online.boarding";"Departure.Delay.in.Minutes";"Arrival.Delay.in.Minutes"
"satisfied";"Female";"Loyal Customer";28;"Personal Travel";"Eco";2187;0;0;0;3;2;0;2;2;3;3;4;4;4;2;0;0
"dissatisfied";"Male";"Loyal Customer";60;"Personal Travel";"Eco";3434;1;0;1;1;2;1;2;2;3;3;4;3;4;2;14;11
"dissatisfied";"Male";"Loyal Customer";39;"Personal Travel";"Eco";2148;1;0;1;3;1;1;2;1;4;5;5;5;5;1;0;0
"satisfied";"Female";"Loyal Customer";68;"Personal Travel";"Eco";578;0;2;0;3;1;0;1;1;2;1;3;1;3;1;15;33
"satisfied";"Female";"Loyal Customer";57;"Personal Travel";"Eco";575;0;2;0;4;5;0;5;5;4;1;4;2;3;5;0;0
"dissatisfied";"Male";"Loyal Customer";11;"Personal Travel";"Eco";1829;1;0;1;3;2;1;2;2;4;4;5;5;5;2;0;37
"dissatisfied";"Male";"Loyal Customer";56;"Personal Travel";"Business";57;1;0;1;3;4;4;5;3;3;1;3;3;3;4;5;2
"dissatisfied";"Male";"Loyal Customer";9;"Personal Travel";"Eco";2751;1;0;1;4;5;1;5;5;4;4;5;4;5;5;0;0
"satisfied";"Female";"Loyal Customer";65;"Personal Travel";"Eco";473;0;4;0;1;5;0;5;5;4;3;4;4;4;5;46;56
"satisfied";"Female";"Loyal Customer";16;"Personal Travel";"Eco";2964;0;4;0;1;4;3;5;1;1;0;1;1;1;5;1;0
"satisfied";"Female";"Loyal Customer";57;"Personal Travel";"Eco";302;0;4;0;1;1;0;1;1;4;3;4;3;4;1;0;5
"satisfied";"Female";"Loyal Customer";47;"Personal Travel";"Eco";981;0;4;0;2;5;5;4;2;2;4;2;3;2;3;0;0
"satisfied";"Female";"Loyal Customer";31;"Personal Travel";"Eco";2798;0;4;0;3;1;0;1;1;2;1;4;5;1;1;0;0
"dissatisfied";"Male";"Loyal Customer";46;"Personal Travel";"Eco";2453;1;1;1;1;3;1;5;3;1;4;1;2;2;3;3;15
"dissatisfied";"Male";"Loyal Customer";51;"Personal Travel";"Business";1561;1;1;1;2;1;2;3;4;4;1;3;1;4;2;5;0
"dissatisfied";"Male";"Loyal Customer";22;"Personal Travel";"Eco";2850;1;1;1;3;1;1;1;1;2;5;4;1;3;1;0;9
"dissatisfied";"Male";"Loyal Customer";32;"Personal Travel";"Eco Plus";2720;1;1;1;3;4;1;4;4;1;2;2;1;2;4;0;0
"dissatisfied";"Male";NA;25;"Personal Travel";"Eco";2352;1;1;1;3;5;1;5;5;3;2;3;4;4;5;0;0
"dissatisfied";"Male";"Loyal Customer";25;"Personal Travel";"Eco";2869;1;1;1;NA;1;1;1;1;1;5;3;3;3;1;24;15
"satisfied";"Female";"Loyal Customer";NA;"Personal Travel";"Eco Plus";1771;0;5;0;4;3;0;1;3;5;3;4;3;2;3;90;76
"satisfied";"Female";"Loyal Customer";54;"Personal Travel";"Eco";897;0;5;0;4;4;5;4;1;1;0;1;3;1;3;0;0
"dissatisfied";"Male";"Loyal Customer";42;"Personal Travel";"Eco";2215;1;1;1;3;4;1;4;4;1;3;4;3;3;4;0;0
"dissatisfied";"Male";"Loyal Customer";60;"Personal Travel";"Eco";1967;1;1;1;3;4;1;4;4;1;4;3;4;3;4;0;0
"dissatisfied";"Male";NA;22;"Personal Travel";"Eco";2275;1;1;1;3;5;1;5;5;1;2;3;4;3;5;0;0
"dissatisfied";"Male";"Loyal Customer";45;"Personal Travel";"Eco";1088;1;1;1;3;3;1;3;3;3;5;2;1;2;3;1;0
"dissatisfied";"Male";"Loyal Customer";12;"Personal Travel";"Eco";4122;1;1;1;4;4;1;4;4;3;4;3;1;4;4;1;0
"dissatisfied";"Male";"Loyal Customer";36;"Personal Travel";"Eco";3429;1;1;1;4;4;1;4;4;2;5;2;4;4;4;4;12
"satisfied";"Female";"Loyal Customer";19;"Personal Travel";"Business";1424;4;4;4;1;2;4;2;2;4;3;4;3;5;2;0;0
"dissatisfied";"Male";"Loyal Customer";29;"Personal Travel";"Business";2007;1;1;4;3;1;4;1;1;3;1;4;2;4;1;0;0
"dissatisfied";"Male";NA;61;"Personal Travel";"Eco";3647;1;2;1;2;1;1;1;1;4;3;1;3;2;1;0;0
"dissatisfied";"Male";"Loyal Customer";50;"Personal Travel";"Eco";1959;1;2;1;2;4;1;4;4;4;4;3;2;2;4;0;0
"satisfied";"Female";"Loyal Customer";23;"Personal Travel";"Eco";2986;4;4;4;3;3;2;2;3;3;4;3;5;3;5;0;0
"dissatisfied";"Male";"Loyal Customer";67;"Personal Travel";"Eco";3194;1;2;1;3;4;1;4;4;2;2;4;3;3;4;0;0
"satisfied";"Female";"Loyal Customer";50;"Personal Travel";"Eco";1627;4;4;4;3;3;4;3;1;1;4;1;2;1;4;0;0
"satisfied";"Female";"Loyal Customer";25;"Personal Travel";"Eco Plus";2203;4;4;4;4;3;2;3;3;3;4;3;3;3;4;24;23
"dissatisfied";"Male";"Loyal Customer";29;"Personal Travel";"Eco";1875;1;2;1;3;5;1;5;5;4;2;3;1;4;5;1;0
"satisfied";"Female";"Loyal Customer";43;"Personal Travel";"Eco";447;4;4;5;2;2;5;2;2;4;5;5;5;4;2;0;0
"dissatisfied";"Male";NA;70;"Personal Travel";"Eco";1899;1;2;1;3;1;1;1;3;1;3;4;1;4;1;161;195
"dissatisfied";"Male";"Loyal Customer";24;"Personal Travel";"Eco";4196;1;2;1;4;3;1;3;3;3;1;4;1;4;3;92;NA
"satisfied";"Female";"Loyal Customer";57;"Personal Travel";"Eco";974;4;5;4;2;2;4;5;2;5;5;2;2;3;2;0;0
"dissatisfied";"Male";"Loyal Customer";62;"Personal Travel";"Eco";1734;1;2;1;4;4;1;4;4;1;4;3;3;3;4;46;41
"dissatisfied";"Male";"Loyal Customer";8;"Personal Travel";"Eco";2023;1;2;1;4;1;1;1;1;2;3;4;4;4;1;0;0
"dissatisfied";"Male";"Loyal Customer";24;"Personal Travel";"Eco";1596;1;2;1;4;1;1;3;1;1;4;3;3;4;1;65;62
"dissatisfied";"Male";"Loyal Customer";27;"Personal Travel";"Eco";1471;1;2;1;4;5;1;5;5;2;1;3;1;3;5;10;13
"satisfied";"Female";"Loyal Customer";23;"Personal Travel";"Eco";1636;4;5;4;4;3;4;3;3;4;3;4;4;4;3;0;0
"satisfied";"Female";"Loyal Customer";37;"Personal Travel";"Business";554;5;1;4;3;1;3;4;5;5;4;5;4;5;4;1;6
"dissatisfied";"Male";"Loyal Customer";68;"Personal Travel";"Eco Plus";1634;1;2;4;3;2;4;2;2;2;3;3;2;3;2;0;0
"dissatisfied";"Male";"Loyal Customer";53;"Personal Travel";"Eco";1762;1;2;4;4;5;4;5;5;2;2;3;2;4;5;24;15
"satisfied";"Female";"Loyal Customer";46;"Personal Travel";"Eco";1234;5;1;5;3;1;5;1;1;2;1;3;4;3;1;0;0
"satisfied";"Female";"Loyal Customer";44;"Personal Travel";"Eco";717;5;1;5;3;5;5;5;5;4;4;3;1;3;5;30;35
"dissatisfied";"Male";"Loyal Customer";68;"Personal Travel";"Business";2457;1;3;1;1;1;4;4;5;4;4;2;4;1;4;4;61
"dissatisfied";"Male";"Loyal Customer";18;"Personal Travel";"Eco";2687;1;3;1;1;2;1;2;2;1;4;2;4;4;2;0;5
"satisfied";"Female";"Loyal Customer";25;"Personal Travel";"Eco";1890;5;2;2;4;5;2;4;5;1;3;2;1;3;5;12;0
"satisfied";"Female";"Loyal Customer";62;"Personal Travel";"Eco";1190;5;2;5;4;2;4;4;2;2;2;2;4;2;3;0;6
"dissatisfied";"Male";NA;50;"Personal Travel";"Eco Plus";2748;1;3;1;2;2;1;2;2;3;3;1;5;3;2;35;17
"dissatisfied";"Male";"Loyal Customer";65;"Personal Travel";"Eco";1593;1;3;1;2;4;1;4;4;4;1;2;3;2;4;0;0
"dissatisfied";"Male";"Loyal Customer";12;"Personal Travel";"Eco";1513;1;3;1;2;5;1;5;5;2;2;5;4;2;5;0;7
"satisfied";"Female";"Loyal Customer";52;"Personal Travel";"Eco";125;5;3;5;3;2;5;5;2;1;1;3;1;3;2;127;123
"satisfied";"Female";"Loyal Customer";NA;"Personal Travel";"Eco";3528;5;3;5;4;2;3;3;1;1;5;1;4;1;2;5;0
"satisfied";"Female";"Loyal Customer";19;"Personal Travel";"Eco";1801;5;4;5;2;4;5;5;4;5;3;5;5;4;4;0;0
"dissatisfied";"Male";"Loyal Customer";21;"Personal Travel";"Eco";2043;1;3;1;3;2;1;2;2;3;2;3;2;4;2;0;0
"dissatisfied";"Male";"Loyal Customer";15;"Personal Travel";"Eco";1940;1;3;1;3;3;1;1;3;2;5;3;3;3;3;128;127
"dissatisfied";"Male";"Loyal Customer";13;"Personal Travel";"Business";2093;1;3;1;3;4;1;4;4;3;3;3;1;3;4;0;0
"satisfied";"Female";"Loyal Customer";12;"Personal Travel";"Eco Plus";1572;5;4;5;3;5;5;5;5;4;4;5;5;4;5;0;0
"dissatisfied";"Male";"Loyal Customer";60;"Personal Travel";"Eco Plus";1354;1;3;1;3;3;1;3;3;1;4;2;2;1;3;0;0
"satisfied";"Female";"Loyal Customer";31;"Personal Travel";"Eco";1695;5;4;5;4;3;5;4;2;2;5;4;3;2;4;0;0
"satisfied";"Female";NA;50;"Personal Travel";"Eco Plus";65;5;4;5;4;2;5;5;5;5;5;5;4;5;5;0;0
"dissatisfied";"Female";"Loyal Customer";47;"Personal Travel";"Eco";6811;1;3;1;4;1;3;3;3;3;3;5;3;2;3;0;0
"dissatisfied";"Male";"Loyal Customer";8;"Personal Travel";"Eco";2656;1;3;1;4;4;1;2;4;2;2;4;3;3;4;0;0
"dissatisfied";"Male";"Loyal Customer";68;"Personal Travel";"Eco";1946;1;3;1;4;3;1;4;3;5;1;5;1;2;3;0;7
"dissatisfied";"Male";NA;14;"Personal Travel";"Eco";2570;1;3;1;4;4;1;4;4;3;1;4;2;4;4;9;20
"dissatisfied";"Male";"Loyal Customer";49;"Personal Travel";"Eco";2217;1;3;1;4;4;1;4;4;2;3;4;5;3;4;19;4
"dissatisfied";"Male";"Loyal Customer";25;"Personal Travel";"Eco";2344;1;3;1;4;1;1;1;1;5;5;2;5;3;1;1;0
"satisfied";"Female";"Loyal Customer";56;"Personal Travel";"Eco";618;5;5;5;1;4;5;4;1;1;5;1;5;1;5;0;0
"dissatisfied";"Male";"Loyal Customer";50;"Personal Travel";"Eco";1366;1;3;1;4;2;1;5;2;2;2;3;4;3;2;0;0
"dissatisfied";"Male";"Loyal Customer";37;"Personal Travel";"Eco";1709;1;3;1;4;2;1;2;2;1;4;5;3;1;2;0;0
"dissatisfied";"Male";"Loyal Customer";12;"Personal Travel";"Eco";2593;1;3;1;5;2;1;2;2;1;3;2;2;3;2;0;0
"dissatisfied";"Male";NA;44;"Personal Travel";"Eco";2193;1;3;1;5;1;1;1;1;2;1;5;5;3;1;20;8
"satisfied";"Female";"Loyal Customer";12;"Personal Travel";"Eco";3122;5;5;5;NA;5;5;5;4;4;5;4;5;4;4;0;4
"dissatisfied";"Male";NA;62;"Personal Travel";"Eco";2481;1;3;2;4;1;2;1;1;3;4;4;3;4;1;0;3
"dissatisfied";"Male";"Loyal Customer";63;"Personal Travel";"Eco Plus";1764;1;3;2;4;3;2;3;3;2;4;4;2;3;3;0;0
"satisfied";"Female";"Loyal Customer";36;"Personal Travel";"Eco";1749;5;5;5;4;2;5;2;2;5;5;3;2;4;2;0;7
"satisfied";"Female";"Loyal Customer";35;"Personal Travel";"Eco";2860;5;5;5;4;4;4;4;2;2;5;2;4;2;3;2;0
"satisfied";"Female";"Loyal Customer";21;"Personal Travel";"Eco";1464;0;0;0;1;4;4;4;4;2;4;4;3;2;4;0;0
"satisfied";"Female";"Loyal Customer";45;"Personal Travel";"Eco";3946;0;0;0;1;1;0;1;1;5;1;5;1;2;1;2;0
"dissatisfied";"Male";"Loyal Customer";17;"Personal Travel";"Eco Plus";4082;1;4;1;1;1;3;3;3;4;4;4;3;4;3;10;0
"satisfied";"Female";"Loyal Customer";22;"Personal Travel";"Eco";3600;0;0;0;NA;3;0;3;3;2;4;5;3;1;3;0;0
"dissatisfied";"Male";NA;47;"Personal Travel";"Eco";3670;1;4;1;1;1;1;1;1;3;1;5;1;5;1;1;0
"satisfied";"Female";"Loyal Customer";69;"Personal Travel";"Eco";1139;0;0;0;2;4;5;4;3;3;3;3;3;3;3;32;15
"dissatisfied";"Male";"Loyal Customer";51;"Personal Travel";"Eco";2088;1;4;1;1;5;1;5;5;3;3;4;4;4;5;0;0
"satisfied";"Female";"Loyal Customer";37;"Personal Travel";"Eco";1982;0;0;0;2;3;5;5;5;5;5;5;3;5;5;14;0
"dissatisfied";"Male";"Loyal Customer";66;"Personal Travel";"Eco";1997;1;4;1;1;1;1;1;1;3;5;4;4;4;1;0;1
"dissatisfied";"Male";"Loyal Customer";61;"Personal Travel";"Eco";1864;1;4;1;1;3;1;3;3;5;3;4;5;4;3;12;0
"dissatisfied";"Male";"Loyal Customer";52;"Personal Travel";"Eco";2118;1;4;1;1;1;1;1;1;5;2;5;5;5;1;0;0
"dissatisfied";"Male";"Loyal Customer";23;"Personal Travel";"Eco";2434;1;4;1;NA;2;1;2;2;1;4;1;4;2;2;78;67
"dissatisfied";"Male";"Loyal Customer";23;"Personal Travel";"Eco";1641;1;4;1;1;5;1;5;5;5;2;5;2;5;5;0;0
"satisfied";"Female";"Loyal Customer";33;"Personal Travel";"Eco";1499;0;0;0;3;4;4;4;5;5;5;5;5;5;3;21;21
"dissatisfied";"Male";"Loyal Customer";38;"Personal Travel";"Eco";1948;1;4;1;1;4;1;4;4;4;2;4;5;5;4;0;6
"dissatisfied";"Male";"Loyal Customer";58;"Personal Travel";"Eco";1091;1;4;1;1;5;1;5;5;3;3;2;1;4;5;0;0
"dissatisfied";"Male";"Loyal Customer";14;"Personal Travel";"Eco";1518;1;4;1;1;5;1;5;5;4;3;5;4;5;5;92;78
"satisfied";"Female";"Loyal Customer";54;"Personal Travel";"Eco";255;0;0;0;3;5;0;5;5;5;2;2;4;4;5;37;28
"satisfied";"Female";"Loyal Customer";65;"Personal Travel";"Eco";2406;0;0;0;4;2;0;2;2;5;4;1;2;5;2;17;0
"dissatisfied";"Male";"Loyal Customer";18;"Personal Travel";"Eco";2754;1;4;1;2;1;1;1;1;3;4;4;5;5;1;0;0
"satisfied";"Female";"Loyal Customer";45;"Personal Travel";"Eco";1571;0;0;0;4;5;4;5;1;1;1;1;4;1;3;69;NA
"dissatisfied";"Male";"Loyal Customer";15;"Personal Travel";"Eco";2904;1;4;1;2;3;1;3;3;4;3;4;4;5;3;4;2
"satisfied";"Female";"Loyal Customer";63;"Personal Travel";"Eco";1477;0;0;0;4;5;5;5;3;3;3;3;5;3;5;0;1
"satisfied";"Female";"Loyal Customer";45;"Personal Travel";"Eco Plus";1280;0;0;0;4;5;5;4;4;4;5;5;5;4;5;0;0
"dissatisfied";"Male";"Loyal Customer";21;"Personal Travel";"Eco";1902;1;4;1;2;4;1;4;4;4;4;4;5;5;4;6;0
"dissatisfied";"Male";"Loyal Customer";60;"Personal Travel";"Eco";2140;1;4;1;2;2;1;2;2;5;2;5;5;4;2;0;0
"dissatisfied";"Male";"Loyal Customer";20;"Personal Travel";"Eco";2321;1;4;1;2;5;1;5;5;4;5;5;3;5;5;0;0
"satisfied";"Female";"Loyal Customer";11;"Personal Travel";"Eco Plus";2233;0;0;0;5;2;0;2;2;4;1;3;4;5;2;29;28
"dissatisfied";"Male";"Loyal Customer";30;"Personal Travel";"Eco Plus";1757;1;4;1;2;4;1;4;4;4;2;5;4;4;4;0;0
"dissatisfied";"Male";"Loyal Customer";12;"Personal Travel";"Eco";1565;1;4;1;2;3;1;4;3;4;3;4;5;4;3;0;0
"dissatisfied";"Male";"Loyal Customer";70;"Personal Travel";"Business";437;1;4;1;2;5;2;5;3;3;1;3;1;3;4;0;0
"satisfied";"Female";"Loyal Customer";26;"Personal Travel";"Eco";1512;0;3;0;3;3;0;3;3;4;2;1;2;3;3;15;0
"satisfied";"Female";"Loyal Customer";31;"Personal Travel";"Eco";1582;0;3;0;4;5;4;5;5;5;5;5;5;5;3;0;0
"satisfied";"Female";"Loyal Customer";67;"Personal Travel";"Eco";270;0;3;0;4;1;3;4;2;2;2;2;3;2;5;0;0
"satisfied";"Female";"Loyal Customer";37;"Personal Travel";"Eco";880;0;4;0;1;3;5;5;4;4;4;4;4;4;3;0;0
"satisfied";"Female";"Loyal Customer";47;"Personal Travel";"Eco";89;0;4;0;1;1;3;3;3;3;3;3;2;3;5;0;0
"satisfied";"Female";"Loyal Customer";63;"Personal Travel";"Eco";2351;0;4;0;2;3;5;5;5;5;5;5;5;5;4;0;0
"satisfied";"Female";"Loyal Customer";25;"Personal Travel";"Business";2849;0;4;0;3;5;2;2;4;4;4;2;2;4;2;8;8
"satisfied";"Female";NA;26;"Personal Travel";"Eco";3008;0;4;0;3;1;0;1;1;3;5;5;1;4;1;0;0
"dissatisfied";"Male";"Loyal Customer";29;"Personal Travel";"Eco";1972;1;4;1;3;5;1;5;5;4;2;5;5;4;5;7;0
"satisfied";"Female";"Loyal Customer";62;"Personal Travel";"Eco";879;0;5;0;1;2;4;4;5;5;1;1;3;5;3;0;0
"satisfied";"Female";"Loyal Customer";25;"Personal Travel";"Eco";2128;0;5;0;4;2;5;4;1;1;1;1;5;1;3;0;0
"dissatisfied";"Male";"Loyal Customer";37;"Personal Travel";"Eco";2334;1;4;1;3;1;1;1;3;3;5;4;1;5;1;124;175
"dissatisfied";"Male";"Loyal Customer";56;"Personal Travel";"Eco";1492;1;4;1;3;5;1;3;5;3;2;5;4;5;5;0;0
"satisfied";"Female";"Loyal Customer";21;"Personal Travel";"Eco";2322;1;1;1;1;4;4;5;1;1;2;1;3;1;3;0;0
"dissatisfied";"Male";"Loyal Customer";55;"Personal Travel";"Eco";1529;1;4;1;3;4;1;3;4;5;4;4;5;4;4;9;14
"dissatisfied";"Male";"Loyal Customer";53;"Personal Travel";"Eco";1359;1;4;1;3;2;1;2;2;4;3;4;3;4;2;89;99
"dissatisfied";"Male";"Loyal Customer";64;"Personal Travel";"Eco Plus";1450;1;4;1;3;2;1;3;2;3;4;4;2;4;2;0;0
"satisfied";"Female";"Loyal Customer";14;"Personal Travel";"Eco Plus";1737;3;3;3;3;2;4;5;2;2;2;2;3;2;4;0;0
"satisfied";"Female";"Loyal Customer";14;"Personal Travel";"Eco";1467;2;2;2;2;5;5;4;2;2;2;2;5;2;5;29;34
"dissatisfied";"Male";"Loyal Customer";59;"Personal Travel";"Eco";1158;1;4;1;3;5;1;5;5;3;2;5;3;5;5;0;6
"satisfied";"Female";"Loyal Customer";56;"Personal Travel";"Eco";200;1;1;5;1;3;5;5;2;2;2;2;3;2;3;11;3
"dissatisfied";"Male";"Loyal Customer";67;"Personal Travel";"Eco";1928;1;4;1;3;4;1;4;4;3;5;4;5;4;4;3;0
"dissatisfied";"Male";NA;67;"Personal Travel";"Eco Plus";1313;1;4;1;3;2;1;2;2;3;3;4;2;4;2;0;0
"dissatisfied";"Male";"Loyal Customer";59;"Personal Travel";"Eco";870;1;4;1;NA;3;1;3;3;4;4;4;4;5;3;0;0
"satisfied";"Female";"Loyal Customer";12;"Personal Travel";"Eco Plus";1787;4;4;4;NA;2;2;2;2;5;3;4;4;5;2;0;0
"dissatisfied";"Male";"Loyal Customer";25;"Personal Travel";"Eco Plus";3330;1;4;1;4;1;5;5;3;2;3;3;5;3;5;27;13
"dissatisfied";"Female";"Loyal Customer";33;"Personal Travel";"Eco";3125;1;4;1;4;1;3;3;3;5;3;5;3;4;3;177;152
"dissatisfied";"Male";"Loyal Customer";19;"Personal Travel";"Eco Plus";2670;1;4;1;4;3;1;3;3;2;5;4;1;4;3;38;31
"dissatisfied";"Male";"Loyal Customer";46;"Personal Travel";"Eco";2260;1;4;1;4;5;1;5;5;5;2;4;5;5;5;2;0
"dissatisfied";"Male";"Loyal Customer";61;"Personal Travel";"Eco";1828;1;4;1;NA;3;1;3;3;3;5;4;5;5;3;0;0
"satisfied";"Female";"Loyal Customer";14;"Personal Travel";"Eco";1638;3;3;3;3;5;4;4;2;2;2;2;3;2;3;0;0
"dissatisfied";"Male";"Loyal Customer";44;"Personal Travel";"Eco";1369;1;4;1;4;1;1;1;1;3;3;5;5;4;1;0;11
"satisfied";"Female";"Loyal Customer";25;"Personal Travel";"Eco";2146;2;2;2;2;2;2;2;2;1;3;3;2;2;2;0;0
"dissatisfied";"Male";"Loyal Customer";70;"Personal Travel";"Eco";1968;1;4;1;4;2;1;2;2;2;2;4;3;3;2;12;2
"dissatisfied";"Male";"Loyal Customer";62;"Personal Travel";"Eco";2315;1;4;1;4;4;1;4;4;5;4;5;4;4;4;0;0
"satisfied";"Female";"Loyal Customer";67;"Personal Travel";"Eco Plus";601;2;3;3;3;2;2;2;2;4;3;1;2;4;2;0;5
"dissatisfied";"Male";"Loyal Customer";45;"Personal Travel";"Eco";1788;1;4;1;4;3;1;3;3;3;1;3;2;3;3;0;0
"dissatisfied";"Male";"Loyal Customer";55;"Personal Travel";"Eco";1186;1;4;1;4;3;1;3;3;3;2;5;4;4;3;106;101
"dissatisfied";"Male";"Loyal Customer";45;"Personal Travel";"Eco";1575;1;4;1;4;1;1;2;1;4;5;5;3;4;1;0;0
"satisfied";"Female";"Loyal Customer";63;"Personal Travel";"Eco";274;4;4;4;4;2;4;5;2;2;2;2;3;2;5;0;0
"dissatisfied";"Male";"Loyal Customer";53;"Personal Travel";"Business";229;1;4;1;4;3;4;4;3;3;1;3;5;3;4;0;0
"dissatisfied";"Male";NA;17;"Personal Travel";"Eco";2110;1;4;1;4;2;1;2;2;3;2;4;2;4;2;0;1
"dissatisfied";"Male";"Loyal Customer";8;"Personal Travel";"Eco";1639;1;4;1;4;4;1;4;4;5;2;4;4;4;4;0;0
"satisfied";"Female";NA;68;"Personal Travel";"Eco";1940;2;2;2;2;2;5;5;2;2;2;2;5;2;3;0;0
"dissatisfied";"Male";NA;13;"Personal Travel";"Eco";2058;1;4;1;5;4;1;3;4;5;3;5;5;4;4;0;0
"satisfied";"Female";"Loyal Customer";56;"Personal Travel";"Eco";946;4;4;3;4;4;3;3;2;2;2;2;4;2;4;0;19
"dissatisfied";"Male";"Loyal Customer";12;"Personal Travel";"Eco";1895;1;4;1;5;1;1;1;1;1;3;3;4;3;1;31;10
"dissatisfied";"Male";"Loyal Customer";27;"Personal Travel";"Eco";1740;1;4;1;5;2;1;1;2;3;5;5;3;1;2;2;18
"satisfied";"Female";NA;22;"Personal Travel";"Eco";2506;4;4;4;4;2;4;5;2;2;2;2;4;2;3;0;0
"dissatisfied";"Male";"Loyal Customer";61;"Personal Travel";"Eco";2696;1;4;2;3;4;2;4;4;5;4;3;4;4;4;0;0
"satisfied";"Female";"Loyal Customer";41;"Personal Travel";"Eco";1758;2;1;1;NA;5;2;5;2;2;2;2;4;2;3;0;0
"satisfied";"Female";"Loyal Customer";19;"Personal Travel";"Eco";1345;4;4;4;4;3;4;5;2;2;2;2;4;2;3;0;0
"dissatisfied";"Male";"Loyal Customer";39;"Personal Travel";"Eco";1528;1;4;4;3;3;4;3;3;3;3;4;2;4;3;0;0
"dissatisfied";"Male";"Loyal Customer";13;"Personal Travel";"Eco";1262;1;4;4;5;1;4;1;1;3;4;4;4;5;1;15;18
"dissatisfied";"Male";"Loyal Customer";59;"Personal Travel";"Eco";2376;1;5;0;2;5;0;5;5;5;2;4;3;5;5;0;0
"satisfied";"Female";NA;55;"Personal Travel";"Eco";873;5;5;5;5;5;4;5;2;2;2;2;4;2;5;29;37
"satisfied";"Female";"Loyal Customer";NA;"Personal Travel";"Eco";1669;3;3;3;3;2;2;2;2;5;4;1;4;3;2;0;0
"dissatisfied";"Male";"Loyal Customer";52;"Personal Travel";"Eco";2441;1;5;1;1;5;1;3;5;5;5;4;4;5;5;21;13
"satisfied";"Female";NA;13;"Personal Travel";"Eco";2320;3;3;3;3;2;5;4;2;2;3;2;3;2;4;19;13
